Date,Open,High,Low,Close,Adj Close,Volume,EMA5,EMA7,EMA150,Buy_Signal,Sell_Signal
2018-06-01,272.4100036621094,273.94000244140625,272.3299865722656,273.6000061035156,254.4062042236328,71258400,,,,0,0
2018-06-04,274.5299987792969,275.19000244140625,274.260009765625,274.8999938964844,255.61505126953125,45385200,,,,0,0
2018-06-05,275.04998779296875,275.5299987792969,274.17999267578125,275.1000061035156,255.80105590820312,51135000,,,,0,0
2018-06-06,275.7900085449219,277.5199890136719,275.0899963378906,277.3999938964844,257.939697265625,62732200,,,,0,0
2018-06-07,277.95001220703125,278.2799987792969,276.3399963378906,277.3699951171875,257.9117431640625,72969400,275.6739990234375,,,0,0
2018-06-08,276.8500061035156,278.25,276.6600036621094,278.19000244140625,258.6742248535156,72139700,276.5919982910156,,,0,0
2018-06-11,278.44000244140625,279.3699951171875,278.30999755859375,278.55999755859375,259.01824951171875,58892500,277.3239990234375,276.44571358816967,,1,0
2018-06-12,279.0299987792969,279.3299865722656,278.19000244140625,278.9200134277344,259.35302734375,72329000,278.08800048828124,277.2057146344866,,1,0
2018-06-13,279.19000244140625,279.4800109863281,277.79998779296875,278.0299987792969,258.5254211425781,79070600,278.21400146484376,277.6528581891741,,1,0
2018-06-14,279.010009765625,279.3299865722656,278.05999755859375,278.7300109863281,259.1763000488281,77097600,278.4860046386719,278.1714303152902,,1,0
2018-06-15,276.6000061035156,277.510009765625,275.3500061035156,277.1300048828125,258.845703125,120041600,278.2740051269531,278.1328604561942,,1,0
2018-06-18,275.489990234375,276.70001220703125,274.95001220703125,276.55999755859375,258.3133544921875,52917600,277.87400512695314,278.0171465192522,,0,0
2018-06-19,274.0,275.75,273.5299987792969,275.5,257.3232116699219,97531500,277.19000244140625,277.6328604561942,,0,0
2018-06-20,276.2699890136719,276.7200012207031,275.5899963378906,275.9700012207031,257.76226806640625,53785500,276.7780029296875,277.2628609793527,,0,0
2018-06-21,275.9599914550781,275.9800109863281,273.67999267578125,274.239990234375,256.1463623046875,71061400,275.8799987792969,276.5942862374442,,0,0
2018-06-22,275.6600036621094,275.7900085449219,274.489990234375,274.739990234375,256.6134338378906,54898500,275.40199584960936,276.12428501674106,,0,0
2018-06-25,273.44000244140625,273.6199951171875,269.1000061035156,271.0,253.12013244628906,137854200,274.2899963378906,275.0199977329799,,0,0
2018-06-26,271.6400146484375,272.55999755859375,270.7900085449219,271.6000061035156,253.68055725097656,68547400,273.50999755859374,274.22999790736606,,0,0
2018-06-27,272.260009765625,273.8699951171875,269.17999267578125,269.3500061035156,251.57908630371094,105110700,272.1859985351563,273.1999991280692,,0,0
2018-06-28,269.2900085449219,271.75,268.489990234375,270.8900146484375,253.01739501953125,76650500,271.51600341796876,272.5414297921317,,0,0
2018-06-29,272.1199951171875,273.6600036621094,271.1499938964844,271.2799987792969,253.3817596435547,97592500,270.8240051269531,271.8714294433594,,0,0
2018-07-02,269.510009765625,272.0400085449219,269.239990234375,271.8599853515625,253.9234161376953,63554800,270.9960021972656,271.5314287458147,,0,0
2018-07-03,272.8699951171875,272.9800109863281,270.4200134277344,270.8999938964844,253.02676391601562,42187100,270.8559997558594,270.9828578404018,,0,0
2018-07-05,272.1700134277344,273.17999267578125,270.9599914550781,273.1099853515625,255.09092712402344,56925900,271.6079956054688,271.28428431919644,,1,0
2018-07-06,273.1400146484375,275.8399963378906,272.7099914550781,275.4200134277344,257.24853515625,66493700,272.5139953613281,271.8299996512277,,1,0
2018-07-09,276.54998779296875,277.9599914550781,276.5,277.8999938964844,259.5649108886719,50550400,273.83799438476564,273.05142647879467,,1,0
2018-07-10,278.4100036621094,279.010009765625,278.0799865722656,278.8999938964844,260.4989929199219,51966800,275.24599609375,274.1957092285156,,1,0
2018-07-11,277.1499938964844,278.0400085449219,276.5199890136719,276.8599853515625,258.59356689453125,77054700,276.4379943847656,274.9928501674107,,1,0
2018-07-12,278.2799987792969,279.42999267578125,277.6000061035156,279.3699951171875,260.9379577636719,60124700,277.68999633789065,276.06570870535717,,1,0
